Handle,Title,Vendor,Product Category,Type,Tags
orange-grey,Orange Grey,London Tea,Uncategorized,Tee lose,"belebend, Bestseller, Galaxus, H: Schweiz, Jubiläum, Mittags, Morgens, Nachmittags, neu, new, P:3-4, revigorant, Schwarztee, tee-neuheiten, Thé Noir, WAT:100, ZD:4"
orange-grey,,,,,
sanddorn-mint,Sanddorn,London Tea,Uncategorized,Tee lose,"Früchte Tee, Früchtetee, Infusion aux fruits, new, P:3-4, tee-neuheiten, WAT:100, ZD:8-10"
sanddorn-mint,,,,,
sanddorn-mint,,,,,
sanddorn-mint,,,,,
swiss-apple-rose,Swiss Apple & Rose Eistee,London Tea,Uncategorized,Tee lose,"belebend, Eistee, Eistee lose Sommerpack, faible teneur en caféine, FR: Thé du sport, Früchte Tee, Früchtetee, Galaxus, H: Schweiz, Ice-Tea, Infusion aux fruits, koffeinarm, neu, new, P:4-5, revigorant, Saisonaler Tee, Sommer - Ice Tea, tee-neuheiten, WAT:100, ZD:8-10"
swiss-apple-rose,,,,,
swiss-apple-rose,,,,,
darjeeling-orange-valley-dj1-first-flush-bio,Darjeeling Orange Valley DJ1 First Flush Bio 2025,London Tea,Uncategorized,Tee lose,"belebend, BIO, Bioinspecta, Darjeeling - Nepal, G:50g, neu, new, P:3-4, revigorant, Schwarztee, tee-neuheiten, Tee-Raritäten, Thé Noir, WAT:100, ZD:3-4"
darjeeling-orange-valley-dj1-first-flush-bio,,,,,
darjeeling-phuguri-dj2-first-flush-bio,Darjeeling Phuguri DJ2 First Flush Bio 2025,London Tea,Uncategorized,Tee lose,"belebend, BIO, Bioinspecta, Darjeeling - Nepal, G:25g, neu, new, P:3-4, revigorant, Schwarztee, tee-neuheiten, Tee-Raritäten, Thé Noir, WAT:100, ZD:3-4"
darjeeling-phuguri-dj2-first-flush-bio,,,,,
cold-brew-trinkflasche-0-3l-1,Cold Brew Trinkflasche 0.3L,Hario,Uncategorized,Mehr,"cold brew, Glas, Glas Geschirr, Neues aus Zubehör & Feinkost, new, Tax 7.7, trinkflaschen"
cold-brew-trinkflasche-0-3l-1,,,,,
cold-brew-trinkflasche-0-3l-1,,,,,
cold-brew-trinkflasche-0-3l-1,,,,,
cold-brew-trinkflasche-0-3l,Cold Brew Trinkflasche 0.3L,Hario,Uncategorized,Mehr,"cold brew, Glas, Glas Geschirr, Neues aus Zubehör & Feinkost, new, Tax 7.7, trinkflaschen"
cold-brew-trinkflasche-0-3l,,,,,
cold-brew-trinkflasche-0-3l,,,,,
cold-brew-trinkflasche-0-3l,,,,,
cold-brew-trinkflasche-0-75l-1,Cold Brew Trinkflasche 0.75L,Hario,Uncategorized,Mehr,"cold brew, Glas, Glas Geschirr, Neues aus Zubehör & Feinkost, new, Tax 7.7, trinkflaschen"
cold-brew-trinkflasche-0-75l-1,,,,,
cold-brew-trinkflasche-0-75l-1,,,,,
cold-brew-trinkflasche-0-75l-1,,,,,
test-tea,Test Tea,London Tea Company,"Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",Tee im Beutel,"Thé Noir, WAT:100, ZD:3-4"
trinkflasche-flowtea-cherry-blossom,Trinkflasche Flowtea Cherry Blossom,London Tea,Uncategorized,Mehr,"-0.5L, Glas, Neues aus Zubehör & Feinkost, new, Tax 7.7, trinkflaschen, Verre"
trinkflasche-flowtea-cherry-blossom,,,,,
trinkflasche-flowtea-cherry-blossom,,,,,
trinkflasche-flowtea-cherry-blossom,,,,,
tee-set-tanaka-aus-porzellan,Tee-Set Tanaka aus Porzellan,Sinas,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Lunch Boxes & Totes > Lunch Box Sets,Mehr,"kanne, kannen, neu, Neues aus Zubehör & Feinkost, new, Porzellan Steingut, Tassen, Tax 7.7, tax 8.1"
pozellan-tea-for-one-to-go-set-0-16l,Porzellan Tea for One To Go Set 0.16L,Sinas,Home & Garden > Kitchen & Dining > Food & Beverage Carriers > Lunch Boxes & Totes > Lunch Box Sets,Mehr,"kanne, kannen, neu, Neues aus Zubehör & Feinkost, new, Porzellan Steingut, Tax 7.7, tax 8.1"
glasteekanne-teamaker-400ml-1,Glasteekanne Teamaker 400ml,London Tea,Uncategorized,Mehr,"-0.5L, Glas, Glas Geschirr, kanne, kannen, Neues aus Zubehör & Feinkost, new, Tax 7.7"
glasteekanne-teamaker-400ml,Glasteekanne Teamaker 400ml,London Tea,Uncategorized,Mehr,"-0.5L, Glas, Glas Geschirr, kanne, kannen, Neues aus Zubehör & Feinkost, new, Tax 7.7"
glasteekanne-teamaker-400ml,,,,,
glasteekanne-teamaker-400ml,,,,,
dose-trees-150g,Dose Trees 150g,London Tea,Uncategorized,Mehr,"Dosen, Neues aus Zubehör & Feinkost, new, Tax 7.7"
dose-trees-150g,,,,,
mate-trinkgefass-aus-silikon-1,Mate Trinkgefäss aus Silikon,London Tea,Uncategorized,Mehr,"diverses, mate, neu, Neues aus Zubehör & Feinkost, new, Tax 7.7"
mate-trinkgefass-aus-silikon,Mate Trinkgefäss aus Silikon,London Tea,Uncategorized,Mehr,"diverses, mate, neu, Neues aus Zubehör & Feinkost, new, Tax 7.7"
krauterteetasse-linnea-0-35l,"Kräuterteetasse ""Linnea"" 0.35L",D&B,Uncategorized,Mehr,"-0.5L, Neues aus Zubehör & Feinkost, Porcelaine-faïence, Porzellan Steingut, tasse, Tassen, tax 8.1"
krauterteetasse-linnea-0-35l,,,,,
krauterteetasse-linnea-0-35l,,,,,
krauterteetasse-trees-0-35l,"Kräuterteetasse ""Trees"" 0.35L",D&B,Uncategorized,Mehr,"-0.5L, Neues aus Zubehör & Feinkost, new, Porcelaine-faïence, Porzellan Steingut, tasse, Tassen, tax 8.1"
krauterteetasse-trees-0-35l,,,,,
krauterteetasse-0-3l-1,Kräuterteetasse 0.3L,D&B,Uncategorized,Mehr,"-0.5L, Neues aus Zubehör & Feinkost, new, Porcelaine-faïence, Porzellan Steingut, tasse, Tassen, tax 8.1"
krauterteetasse-0-3l-1,,,,,
krauterteetasse-0-3l,Kräuterteetasse 0.3L,D&B,Uncategorized,Mehr,"-0.5L, Neues aus Zubehör & Feinkost, new, Porcelaine-faïence, Porzellan Steingut, tasse, Tassen, tax 8.1"
krauterteetasse-0-3l,,,,,
krauterteetasse-0-3l,,,,,
japan-kukicha-yuzu-bio,Japan Kukicha Yuzu Bio,London Tea Company,Uncategorized,Tee lose,"BIO, Bioinspecta, G:50g, Grüntee, Grüntee aus Japan, Japan, neu, new, P:2-3, rarität, tee-neuheiten, WAT:70-80, ZD: 1-2"
japan-sencha-yuzu,Japan Sencha Yuzu,London Tea Company,Uncategorized,Tee lose,"G:50g, Grüntee, Grüntee aus Japan, Japan, neu, new, P:2-3, rarität, tee-neuheiten, WAT:80, ZD: 1-2"
nantou-ming-jian-hong-shui,NANTOU MING JIAN HONG SHUI,London Tea,Uncategorized,Tee lose,"beruhigend, calmant, G:50g, Oolong, P:4, rarität, Tee-Raritäten, WAT:80, ZD:2-3"
teekanne-aus-borosilikatglas-mit-holzdecke-1l,Teekanne aus Borosilikatglas mit Holzdecke 1L,London Tea,Uncategorized,Mehr,"0.51L-1L, Glas, Glas Geschirr, kanne, kannen, Neues aus Zubehör & Feinkost, new, Tax 7.7"
teekanne-aus-borosilikatglas-mit-holzdecke-1l,,,,,
teekanne-aus-borosilikatglas-mit-holzdecke-1l,,,,,
teekanne-aus-borosilikatglas-mit-holzdecke-1l,,,,,
teekanne-aus-borosilikatglas-mit-holzdecke-1l,,,,,
matcha-schale-1,Matcha Schale,London Tea,Uncategorized,Mehr,"Chanoyu, Japan, Matcha Schalen + Zubehör, Matcha Zubehör, neu, Neues aus Zubehör & Feinkost, new, Tax 7.7"
matcha-bambusbesen-chasen-shirotake-shin,"Matcha Bambusbesen ""Chasen"" Shirotake Shin",London Tea,Uncategorized,Mehr,"Chanoyu, FR:Fouet en bambou pour le Matcha, Matcha Zubehör, new, Tax 7.7"
matcha-bambusbesen-chasen-shirotake-shin,,,,,
matcha-bambusbesen-chasen-shirotake-shin,,,,,
matcha-bambusbesen-chasen-shirotake-shin,,,,,
matcha-bambusbesen-chasen-shirotake-shin,,,,,
matcha-bambusbesenhalter-kusenaoshi-kurokessho,Matcha Bambusbesenhalter Kusenaoshi Kurokessho,London Tea,Uncategorized,Mehr,"Chanoyu, FR: Support en porcelaine pour le fouet à matcha, matcha, Matcha Zubehör, new, Porcelaine-faïence, Porzellan-steingut, Tax 7.7"
matcha-bambusbesenhalter-kusenaoshi-kurokessho,,,,,
matcha-bambusbesenhalter-kusenaoshi-kurokessho,,,,,
matcha-bambusbesenhalter-kusenaoshi-kurokessho,,,,,
matcha-bambusbesenhalter-weiss-klein,Matcha Bambusbesenhalter Weiss klein,London Tea,Uncategorized,Mehr,"Chanoyu, FR: Support en porcelaine pour le fouet à matcha, matcha, Matcha Zubehör, new, Porcelaine-faïence, Porzellan-steingut, Tax 7.7"
matcha-bambusbesenhalter-weiss-klein,,,,,
matcha-bambusbesenhalter-weiss,Matcha Bambusbesenhalter Weiss,London Tea,Uncategorized,Mehr,"Chanoyu, FR: Support en porcelaine pour le fouet à matcha, matcha, Matcha Zubehör, new, Porcelaine-faïence, Porzellan-steingut, Tax 7.7"
matcha-bambusbesenhalter-weiss,,,,,
basis-tee-kurs,Basis Tee Kurs,Event,,Event,
tee-cup-und-unterteller-1,Tee Cup und Unterteller,London Tea,Uncategorized,Mehr,"FR: Théière en porcelaine, Neues aus Zubehör & Feinkost, new, Porcelaine-faïence, Porzellan - Steingut, tasse, Tassen"
tee-cup-und-unterteller,Tee Cup und Unterteller,London Tea,Uncategorized,Mehr,"FR: Théière en porcelaine, Neues aus Zubehör & Feinkost, new, Porcelaine-faïence, Porzellan - Steingut, tasse, Tassen"
porzellan-kanne-0-6l-leaves-to-tea,Porzellan Kanne 0.6L,London Tea,Uncategorized,Mehr,"0.51L-1L, FR: Théière en porcelaine, kanne, Kannen, Neues aus Zubehör & Feinkost, new, Porcelaine-faïence, Porzellan - Steingut"
porzellan-kanne-0-6l-leaves-to-tea,,,,,
porzellan-kanne-0-6l-leaves-to-tea,,,,,
porzellan-kanne-0-6l-leaves-to-tea,,,,,
kronos-doppelwandiges-eistee-glas-0-35l,KRONOS Doppelwandiges Eistee-Glas 0.25L,London Tea,Uncategorized,Mehr,"Glas, Glas Geschirr, kanne, kannen, Neues aus Zubehör & Feinkost, new, Tax 7.7"
kronos-doppelwandiges-eistee-glas-0-35l,,,,,
handmade-fingers-shortbread-biscuits-2er-stick-originalrezept,Handmade Fingers Shortbread Biscuits 2er Stick - Originalrezept,London Tea,Uncategorized,Mehr,"neu, Neues aus Zubehör & Feinkost, new, shortbread"
handmade-shortbread-earl-grey-125g,Handmade Shortbread Earl Grey - 125g,London Tea,Uncategorized,Mehr,"GG: 125g, Neues aus Zubehör & Feinkost, new, shortbread"
handmade-shortbread-original,Handmade Shortbread Original - 125g,London Tea,Uncategorized,Mehr,"GG: 125g, Neues aus Zubehör & Feinkost, new, shortbread"
glasteekanne-cast-0-7l,Glasteekanne CAST 0.7L,London Tea,Uncategorized,Mehr,"0.51L-1L, Glas, Glas Geschirr, kanne, kannen, Neues aus Zubehör & Feinkost, new, Tax 7.7"
trinkflasche-travel-tumbler-0-5l,Trinkflasche TRAVEL TUMBLER khaki 0.5L,London Tea,Uncategorized,Mehr,"-0.5L, Neues aus Zubehör & Feinkost, new, Tax 7.7, trinkflaschen"
trinkflasche-travel-tumbler-0-5l,,,,,
trinkflasche-travel-tumbler-0-5l,,,,,
china-pu-erh-beeng-cha-man-nong-mountain-ca-357-g-shu,China Pu-Erh Beeng Cha-Man Nong Mountain ca. 357 g - shu,London Tea,Uncategorized,Tee lose,"G: ca. 357g, new, Nur Online, P:14g, Pu Er, rarität, Raritäten, tee-neuheiten, Tee-Raritäten, WAT:100, ZD:1-3"
china-guangxi-jasmin-silver-needle-beeng-cha-sheng-ca-200-g,China Guangxi Jasmin Silver Needle Beeng Cha - sheng ca. 200 g,London Tea,Uncategorized,Tee lose,"G: 200g, Neues aus Zubehör & Feinkost, new, Nur Online, P:12g, rarität, Raritäten, Tee-Raritäten, WAT:100, Weisser Tee, ZD:1-3"
nantou-ming-jian-hong-shui-oolong,Ali Shan Nai Axiang Milk Oolong,London Tea,Uncategorized,Tee lose,"beruhigend, calmant, G:50g, Oolong, P:3, rarität, Tee-Raritäten, WAT:90, ZD:3-4"
nantou-ming-jian-four-season-oolong,Nantou Ming Jian Four Season Oolong,London Tea,Uncategorized,Tee lose,"beruhigend, calmant, G:50g, Oolong, P:3, rarität, Tee-Raritäten, WAT:80, ZD:2-3"
gyokko-kurosujibiki-shiboridashi-60ml,Gyokko Kurosujibiki Shiboridashi 60ml,Sazen,Home & Garden > Kitchen & Dining > Tableware > Coffee Servers & Teapots > Teapots,Mehr,"kanne, kannen, Neues aus Zubehör & Feinkost, new, Tax 7.7"
gyokko-kurosujibiki-shiboridashi-60ml,,,,,
gyokko-kurosujibiki-shiboridashi-60ml,,,,,
gyokko-kurosujibiki-shiboridashi-60ml,,,,,
gyokko-kurosujibiki-shiboridashi-60ml,,,,,
matcha-schale,Matcha Schale,London Tea,Uncategorized,Mehr,"Chanoyu, Japan, Matcha Schalen + Zubehör, Matcha Zubehör, Neues aus Zubehör & Feinkost, new, Tax 7.7"
tokoname-in-dunkelgrau-mit-kirschblutenmotiv-380ml,Tokoname in Dunkelgrau mit Kirschblütenmotiv 380ml,London Tea,Uncategorized,Mehr,"kanne, kannen, Neues aus Zubehör & Feinkost, new, Tax 7.7, Ton"
tokoname-in-dunkelgrau-mit-kirschblutenmotiv-380ml,,,,,
tokoname-in-dunkelgrau-mit-kirschblutenmotiv-380ml,,,,,
tokoname-rouge-320-ml,Tokoname Rouge 320 ml,London Tea,Uncategorized,Mehr,"kanne, kannen, Neues aus Zubehör & Feinkost, new, Tax 7.7, Ton"
tokoname-rouge-320-ml,,,,,
tokoname-rouge-320-ml,,,,,
tokoname-rouge-380-ml,Tokoname Rouge 380 ml,London Tea,Uncategorized,Mehr,"kanne, kannen, Neues aus Zubehör & Feinkost, new, Tax 7.7, Ton"
tokoname-rouge-380-ml,,,,,
tokoname-rouge-380-ml,,,,,
pitcher-glass-katakuchi,Pitcher Glass Katakuchi,London Tea,Uncategorized,Mehr,"Chanoyu, Japan, Matcha Schalen + Zubehör, Matcha Zubehör, Neues aus Zubehör & Feinkost, new, Tax 7.7"
pitcher-glass-katakuchi,,,,,
pitcher-glass-katakuchi,,,,,
pitcher-glass-katakuchi,,,,,
pitcher-glass-katakuchi,,,,,
chawan-matcha-schale-von-kawai-masamitsu,Chawan / Matcha Schale von Kawai Masamitsu,Sazen,Uncategorized,Mehr,"matcha, Matcha Zubehör, neu, Neues aus Zubehör & Feinkost, tax 8.1"
chawan-matcha-schale-von-kawai-masamitsu,,,,,
chawan-matcha-schale-von-kawai-masamitsu,,,,,
krauterteetasse-yasu-0-23l,"Kräuterteetasse ""Yasu"" 0.23L",D&B,Uncategorized,Mehr,"-0.5L, Neues aus Zubehör & Feinkost, new, Porcelaine-faïence, Porzellan Steingut, tasse, Tassen, tax 8.1"
krauterteetasse-yasu-0-23l,,,,,
krauterteetasse-jerry-0-3l,"Kräuterteetasse ""Jerry"" 0.3L",D&B,Uncategorized,Mehr,"-0.5L, Neues aus Zubehör & Feinkost, new, Porcelaine-faïence, Porzellan Steingut, tasse, Tassen, tax 8.1"
krauterteetasse-jerry-0-3l,,,,,
matcha-schale-naruko,Matcha Schale Naruko,London Tea,Uncategorized,Mehr,"Chanoyu, Japan, Matcha Schalen + Zubehör, Matcha Zubehör, Neues aus Zubehör & Feinkost, new, Tax 7.7"
matcha-schale-naruko,,,,,
matcha-schale-naruko,,,,,
krauterteetasse-amami-0-35l,"Kräuterteetasse ""Amami"" 0.35L",D&B,Uncategorized,Mehr,"-0.5L, Neues aus Zubehör & Feinkost, new, Porcelaine-faïence, Porzellan Steingut, tasse, Tassen, tax 8.1"
dose-amami-175-g,"Dose ""Amami"" 175 g",London Tea,Uncategorized,Mehr,"Dosen, Neues aus Zubehör & Feinkost, new, Tax 7.7"
dose-amami-175-g,,,,,
2er-set-teishu-ceremonial-suiko-matcha-bio-30g,2er Set Teishu Ceremonial Suiko Matcha Bio 30g,London Tea,"Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",Tee lose,"BIO, Bioinspecta, GG30g, H: Japan"
the-voice-tea,Voice Tea,London Tea Company,"Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",Tee lose,"Galaxus, GG:50g, H: Schweiz, Kräuter Tee, Kräuter Tee lose, kräutertee, new, P:3-4, tee-neuheiten, WAT:100, ZD:4-5"
the-voice-tea,,,,,
the-voice-tea,,,,,
the-voice-tea,,,,,
the-voice-tea,,,,,
tea-of-love,Tea of Love,London Tea,Uncategorized,Tee lose,"faible teneur en caféine, FR: Thé de printemps, Galaxus, GG:50g, H: Schweiz, Infusion aux herbes, koffeinarm, Kräuter Tee, kräutertee, new, P:4-5, Saisonaler Tee, Standard Sortiment, tee-neuheiten, WAT:100, ZD:7-10"
tea-of-love,,,,,
tea-of-love,,,,,
tea-of-love,,,,,
tea-of-love,,,,,
weihnachtsdose-gross-weihnachtsmarkt,Weihnachtsdose gross Weihnachtsmarkt,London Tea Company,"Food, Beverages & Tobacco > Food Items",,sale
weihnachtsdose-gross-weihnachtsmarkt,,,,,
porzellantasse,Porzellantasse,London Tea Company,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,,"sale, tax 8.1"
porzellantasse,,,,,
tasse-mit-geschenkverpackung,Tasse mit Geschenkverpackung,London Tea Company,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,,"sale, tax 8.1"
tasse-mit-geschenkverpackung,,,,,
